station_name,latitude,longitude,sensor_id,station_id,pollutant,pollutant_symbol,pollutant_code,pollutant_id
"Tarnów, ul. Bitwy pod Studziankami",50.020169,21.004167,3068,444,ozon,O3,O3,5
"Tarnów, ul. Bitwy pod Studziankami",50.020169,21.004167,3070,444,pył zawieszony PM10,PM10,PM10,3
"Tarnów, ul. Ks. Romana Sitko",50.018253,20.992578,16494,10120,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Tarnów, ul. Ks. Romana Sitko",50.018253,20.992578,16457,10120,pył zawieszony PM10,PM10,PM10,3
"Tarnów, ul. Ks. Romana Sitko",50.018253,20.992578,16460,10120,dwutlenek azotu,NO2,NO2,6
"Tarnów, ul. Ks. Romana Sitko",50.018253,20.992578,16465,10120,tlenek węgla,CO,CO,8
"Tarnów, ul. Ks. Romana Sitko",50.018253,20.992578,20560,10120,benzen,C6H6,C6H6,10
"Nowy Sącz, ul. Nadbrzeżna",49.619281,20.714403,2941,426,pył zawieszony PM10,PM10,PM10,3
"Nowy Sącz, ul. Nadbrzeżna",49.619281,20.714403,2944,426,dwutlenek siarki,SO2,SO2,1
"Nowy Sącz, ul. Nadbrzeżna",49.619281,20.714403,16327,426,benzen,C6H6,C6H6,10
"Dębica, ul.Grottgera",50.054786,21.416256,20324,9173,pył zawieszony PM10,PM10,PM10,3
"Dębica, ul.Grottgera",50.054786,21.416256,20325,9173,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Krempna, Ośrodek edukacyjno-muzealny MPN",49.511297,21.498606,14751,9175,dwutlenek siarki,SO2,SO2,1
"Krempna, Ośrodek edukacyjno-muzealny MPN",49.511297,21.498606,14753,9175,dwutlenek azotu,NO2,NO2,6
"Krempna, Ośrodek edukacyjno-muzealny MPN",49.511297,21.498606,14756,9175,ozon,O3,O3,5
"Rymanów Zdrój, ul. Parkowa",49.546539,21.851006,17184,10414,pył zawieszony PM10,PM10,PM10,3
"Rymanów Zdrój, ul. Parkowa",49.546539,21.851006,17185,10414,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Mielec, ul. Biernackiego",50.299128,21.440942,17265,10438,dwutlenek siarki,SO2,SO2,1
"Mielec, ul. Biernackiego",50.299128,21.440942,17266,10438,dwutlenek azotu,NO2,NO2,6
"Mielec, ul. Biernackiego",50.299128,21.440942,17269,10438,ozon,O3,O3,5
"Mielec, ul. Biernackiego",50.299128,21.440942,17270,10438,benzen,C6H6,C6H6,10
"Mielec, ul. Biernackiego",50.299128,21.440942,17271,10438,pył zawieszony PM10,PM10,PM10,3
"Mielec, ul. Biernackiego",50.299128,21.440942,17272,10438,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Jedlicze, ul. Tokarskich",49.714025,21.641508,27891,16978,pył zawieszony PM10,PM10,PM10,3
"Jedlicze, ul. Tokarskich",49.714025,21.641508,27893,16978,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Białystok, ul. Waszyngtona",53.126689,23.155869,4001,605,dwutlenek azotu,NO2,NO2,6
"Białystok, ul. Waszyngtona",53.126689,23.155869,4005,605,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Białystok, ul. Waszyngtona",53.126689,23.155869,18157,605,benzen,C6H6,C6H6,10
